dataset,ablation,seed,base_MAE,rho_temp_attn,rho_rollout,rho_recency,dmae_p0,attn_p0,roll_p0,span_p0,dmae_p1,attn_p1,roll_p1,span_p1,dmae_p2,attn_p2,roll_p2,span_p2,dmae_p3,attn_p3,roll_p3,span_p3,dmae_p4,attn_p4,roll_p4,span_p4,dmae_p5,attn_p5,roll_p5,span_p5,dmae_p6,attn_p6,roll_p6,span_p6,dmae_p7,attn_p7,roll_p7,span_p7,dmae_p8,attn_p8,roll_p8,span_p8,dmae_p9,attn_p9,roll_p9,span_p9,dmae_p10,attn_p10,roll_p10,span_p10
jena,no_revin,0,3.2517066,0.4090909090909091,0.5363636363636364,0.5272727272727273,0.0122812271118164,0.0900539394468069,0.078935937769711,0-16,-0.0185308456420898,0.0906677717342972,0.0562460354529321,8-24,-0.0080849945545196,0.0904611751437187,0.06515390034765,16-32,0.0167575716972351,0.0901135085150599,0.0665586120449006,24-40,0.0088695883750915,0.0906528767198324,0.0566002592444419,32-48,0.0102348983287811,0.0906710064038634,0.0629038525745272,40-56,-0.001848292350769,0.0905561683699488,0.0605301219969987,48-64,0.0160629212856292,0.0911791516467928,0.0549820199608802,56-72,0.0050805449485778,0.0909847248345613,0.0667858425527811,64-80,0.0343737602233886,0.0914723716676235,0.0699626847170293,72-88,1.88450910449028,0.0931873064488172,0.3613407500088215,80-96
jena,no_revin,1,3.35823,0.6727272727272727,0.4727272727272727,0.5272727272727273,0.0012324571609497,0.0907812565565109,0.0522735009901225,0-16,0.0070942163467407,0.0908481096848845,0.052852198574692,8-24,0.0015061795711517,0.0904110020026564,0.0642941031605005,16-32,0.0004510402679443,0.0904225224629044,0.061091723665595,24-40,-0.0111453235149383,0.0907892022281885,0.0516824415884912,32-48,-0.0166836082935333,0.0904776936396956,0.0606053451076149,40-56,-0.0118592917919158,0.0905386758968234,0.0574221816845238,48-64,0.0294289886951446,0.0910475183278322,0.0482517030090093,56-72,0.0709602952003479,0.090542309731245,0.0619965418241918,64-80,0.2881510972976684,0.0912858512252569,0.0676274466328323,72-88,2.1410498678684236,0.0928558535873889,0.4219028271734714,80-96
jena,no_revin,2,3.268909,0.3545454545454546,0.5636363636363637,0.3,0.0194090962409973,0.0905423454940319,0.0665725709870457,0-16,0.0255144715309143,0.0903458435088396,0.0575623997487127,8-24,0.0096185028553009,0.0905404884368181,0.0655618039891123,16-32,0.0052463173866271,0.0907549209892749,0.067862381786108,24-40,-0.0031068623065948,0.090720872208476,0.0604806970804929,32-48,-0.0105651974678039,0.0907029829919338,0.060486273933202,40-56,-0.0179375648498535,0.090846043266356,0.0578217529691755,48-64,0.0036019325256347,0.0908858088776469,0.0499421147629618,56-72,0.0363126993179321,0.0911819769069552,0.0608466626144945,64-80,0.088169914484024,0.0916248049587011,0.0673912087455392,72-88,2.069832521677017,0.0918539112433791,0.3854721337556839,80-96
jena,no_revin,3,3.3462543,0.5636363636363637,0.5909090909090909,0.7181818181818183,-0.0093088924884796,0.0909686421975493,0.0497921441681683,0-16,-0.0098017394542694,0.0907335437834262,0.048767005931586,8-24,-0.0035439252853393,0.0905740179121494,0.0606087031774222,16-32,-0.0078487753868103,0.0904803266748786,0.0600817343220114,24-40,-0.0056013107299804,0.0906934566795825,0.0528584642335772,32-48,-0.0078954696655273,0.0908933609724044,0.0573890499770641,40-56,-0.0111449658870697,0.0906318364664912,0.0563673636876046,48-64,0.0228571355342864,0.0908598206937313,0.0484992220066487,56-72,0.0605597019195556,0.0911749729886651,0.0582309926860034,64-80,0.2366828143596649,0.0912015307694673,0.0696886719204485,72-88,2.1850896954536436,0.0917884904891252,0.4377166472375393,80-96
jena,no_revin,4,3.3599281,0.8909090909090911,0.1181818181818181,0.8363636363636365,-0.0342025399208068,0.0902019619941711,0.0742868266999721,0-16,-0.0503323018550872,0.0902986362576484,0.0552013074979186,8-24,-0.009559941291809,0.0904435155913233,0.0663938726298511,16-32,-0.0174322605133056,0.090352033264935,0.0698485817760229,24-40,-0.0165490567684173,0.0906619656831026,0.0584091289900243,32-48,-0.012829703092575,0.0909286959096789,0.0640831218101084,40-56,-0.0244996666908264,0.0906968727707862,0.0682308866642415,48-64,-0.0028585791587829,0.0910873807966709,0.0579429260455071,56-72,-0.0081369578838348,0.0914143098518252,0.0638993381522596,64-80,0.1201421320438385,0.0917140748351812,0.068097402062267,72-88,1.916306835412979,0.0922005623579025,0.3536066144704818,80-96
jena,no_entropy,0,3.5264010429382324,0.3181818181818182,-0.009090909090909,0.9272727272727276,0.0389918804168701,0.0909494169056415,0.0865648429840803,0-16,0.0657428801059722,0.0908968163654208,0.0834294205531478,8-24,0.0876466393470764,0.0905083393678069,0.0954002469778061,16-32,0.1000830292701721,0.0908409975469112,0.0803525306284427,24-40,0.0887471377849578,0.0909479171037674,0.0798186775296926,32-48,0.0836723983287811,0.0907773058861494,0.0834958838298916,40-56,0.10386723279953,0.0910633226856589,0.0767726404592394,48-64,0.1678411424160003,0.0908128533512353,0.0815538445487618,56-72,0.1175930321216583,0.0905290668830275,0.0885177506133914,64-80,0.3138516008853912,0.0909970348700881,0.0830518657341599,72-88,1.8038724541664124,0.0916769372299313,0.1610423117876052,80-96
jena,no_entropy,1,3.513972043991089,0.6181818181818182,0.5545454545454546,0.5636363636363637,0.0276983559131622,0.0907603502273559,0.0981736836954951,0-16,0.0271118700504303,0.0907982537522912,0.0833789410069584,8-24,0.0518057644367218,0.090774916857481,0.0875534038990736,16-32,0.0464317381381988,0.0906768346205353,0.0829869832843542,24-40,0.008645361661911,0.0908947760239243,0.0775030581280589,32-48,0.0049205422401428,0.0909310864284634,0.0819288136437535,40-56,-0.0049189925193786,0.090761294029653,0.0872543266043067,48-64,0.0531535327434539,0.0909894147887826,0.0801476722583174,56-72,0.0777511417865753,0.0909822110086679,0.0904171830043196,64-80,0.3394004166126251,0.0910096837207675,0.0939250584691762,72-88,1.8697528958320615,0.0914211716502904,0.136730895191431,80-96
jena,no_entropy,2,3.4769935607910156,-0.0818181818181818,0.5727272727272729,0.5090909090909091,-0.0031799674034118,0.0902627123519778,0.0851772243157029,0-16,0.0255679190158844,0.09012210983783,0.0804704833775758,8-24,0.0175155460834503,0.0906545031815767,0.0853848269209265,16-32,-0.0360378861427307,0.091203000023961,0.0785805493593216,24-40,-0.0211352348327636,0.0910279590636491,0.0748526327311992,32-48,-0.0318855166435241,0.0910738302394747,0.0783190654590725,40-56,-0.0272543728351593,0.0914474077522754,0.0790761172771453,48-64,0.0288267314434051,0.0909174773842096,0.0776080572977662,56-72,0.0238422155380249,0.0906864732503891,0.0888955237343907,64-80,0.2888453662395477,0.0911525404080748,0.0887709219008684,72-88,1.9976221799850464,0.0914519779384136,0.1828646067529916,80-96
jena,full,0,3.502587080001831,0.3727272727272728,0.14545454545454548,0.8272727272727273,0.08236297965049744,0.09097247645258903,0.08597626574337483,0-16,0.053511178493499754,0.09091072659939528,0.08536155112087726,8-24,0.08737038373947144,0.09015477169305086,0.09265571478754282,16-32,0.10587584376335143,0.09090851433575153,0.07968485448509455,24-40,0.09832257032394409,0.09111341517418622,0.08241249620914459,32-48,0.06949847936630249,0.09056429732590913,0.08114208038896323,40-56,0.0898984968662262,0.09115041419863701,0.0756352599710226,48-64,0.178356397151947,0.09103634487837553,0.08334219008684159,56-72,0.13413034677505492,0.09036271162331104,0.0858751891180873,64-80,0.31311575174331663,0.09096913821995259,0.08274021334946155,72-88,1.8055884659290313,0.09185721091926098,0.1651742048561573,80-96
jena,full,1,3.5242276191711426,0.5818181818181819,0.39090909090909093,0.6181818181818182,0.019392025470733643,0.09076356571167707,0.09490942079573869,0-16,0.02997976541519165,0.09081421475857496,0.08415133822709323,8-24,0.0430219292640686,0.09069136139005422,0.088851354457438,16-32,0.0470507025718689,0.0906580325216055,0.08423290103673935,24-40,0.024936890602111815,0.09091784320771694,0.07871325742453336,32-48,0.01536594033241272,0.09090041648596525,0.08260895498096943,40-56,0.010048758983612061,0.09080121573060751,0.08782689012587071,48-64,0.05443075895309448,0.09104147404432297,0.08023265227675438,56-72,0.0844649314880371,0.0909496296197176,0.08841818552464246,64-80,0.34403064250946047,0.09101522639393807,0.0936423096805811,72-88,1.8445293068885804,0.09144704230129719,0.13641275689005852,80-96
