model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,norm_variant,width,bl_d_model,bl_d_ff
XAI-MeteoFormer,jena,full,0,0.0,1892513.0,691.8,7.43,0.1593279133983314,20.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.181884288787842,5.541415691375732,30.7072868347168,22.30642509460449,0.6523871421813965,1.9933420419692995,2.6949245929718018,7.545328140258789,10.131799697875977,10.773452758789062,2.300297975540161,3.366091012954712,0.2324253618717193,0.8885668516159058,1.2580054998397827,1.2649873495101929,2.292120695114136,2.656665086746216,4.823578834533691,3.3398170471191406,5.726062774658203,4.042835712432861,6.5351762771606445,0.8080301505128943,0.2605086309131638,0.9026273191383388,0.4043245454207415,0.92286884832403,0.4622736633997045,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,full,1,0.0,1892513.0,606.3,7.14,0.155446227402658,17.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.212286710739136,5.558751106262207,30.899715423583984,22.141742706298828,0.6559798121452332,2.010437726974488,2.695324182510376,7.6802873611450195,10.186948776245115,11.138806343078612,2.2837133407592773,3.317826747894287,0.2307820171117782,0.8747104406356812,1.2458866834640503,1.3018832206726074,2.3790884017944336,2.708585500717163,4.883313179016113,3.3767123222351074,5.753987789154053,4.0819525718688965,6.548119068145752,0.8205738903269102,0.2683637022466094,0.8607064292533101,0.4091550337887831,0.9137222584289736,0.4182783986847512,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,full,2,0.0,1892513.0,722.8,7.45,0.1537806530026796,20.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.1829566955566406,5.529145240783691,30.57144546508789,21.87317657470703,0.6578304767608643,1.94495689868927,2.608349084854126,7.707603931427002,10.172273635864258,11.47040843963623,2.208179235458374,3.230311632156372,0.223121628165245,0.8710849285125732,1.253881573677063,1.208051681518555,2.2119786739349365,2.667476892471313,4.855792045593262,3.375306367874145,5.760090351104736,4.068064689636231,6.5387725830078125,0.8675702233726392,0.3266143633071816,0.7862034615863529,0.4615047266348309,0.9225527695404552,0.4796841599854148,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,full,3,0.0,1892513.0,737.5,7.5,0.1564899501625173,20.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.1768698692321777,5.473716735839844,29.96157455444336,22.25927734375,0.660706639289856,1.975498914718628,2.633550882339477,7.532664775848389,10.006142616271973,10.948307037353516,2.314121961593628,3.353100538253784,0.2338734716176986,0.8851954340934753,1.2427799701690674,1.2978019714355469,2.283318519592285,2.656490087509156,4.77947998046875,3.356961727142334,5.700336456298828,4.04050874710083,6.494234561920166,0.8098576358930112,0.2622828095002354,0.9015896733491056,0.4063528883567794,0.9264260665123408,0.5288341812436521,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,full,4,0.0,1892513.0,665.1,7.44,0.1569215567061296,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.218513011932373,5.576993942260742,31.10286331176757,22.07516098022461,0.651904821395874,2.021120309829712,2.7173104286193848,7.687262058258057,10.219304084777832,11.041970252990724,2.284186601638794,3.318941354751587,0.2308177053928375,0.8814794421195984,1.2562401294708252,1.548373103141785,2.905158519744873,2.786341667175293,5.1341047286987305,3.374186038970948,5.783770084381104,4.021731376647949,6.473336219787598,0.78277190585754,0.2385632208734718,0.916863819366621,0.3786132368946516,0.9215916279436948,0.4617576209843125,0.0721796807592752,off,default,,
DLinear,jena,full,0,0.0,4656.0,72.6,1.86,0.1728991866922423,21.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.4168264865875244,5.750926494598389,33.07315444946289,23.03314781188965,0.6173701882362366,2.120512247085572,2.7976884841918945,7.700413703918457,10.318700790405272,11.38479232788086,2.919140815734864,4.038729667663574,0.2948888540267944,0.9272394180297852,1.2956141233444214,1.024017572402954,1.8227500915527344,2.9639556407928467,5.093974113464356,3.754420280456543,6.177375793457031,4.212530136108398,6.59043550491333,0.6615916498897517,0.1755780927138778,0.9980907317478106,0.2986240468916871,0.9647230853509724,0.6943399427952823,0.0721796807592752,off,default,,
DLinear,jena,full,1,0.0,4656.0,64.0,2.02,0.1733391754935584,19.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.419029951095581,5.758444309234619,33.15968322753906,23.01747131347656,0.6162155866622925,2.1094393730163574,2.778849124908448,7.708820819854736,10.338272094726562,11.37475299835205,2.929982185363769,4.043417453765869,0.2959833145141601,0.9278756380081176,1.2990933656692505,1.119292378425598,1.8980001211166384,2.97839093208313,5.116771697998047,3.7489540576934814,6.18070650100708,4.192140579223633,6.594707012176514,0.661214169303039,0.1753646133529836,0.997634167600548,0.2982948199260344,0.9649502548583352,0.6947266209965839,0.0721796807592752,off,default,,
DLinear,jena,full,2,0.0,4656.0,47.1,1.82,0.1737423455662864,14.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.430072069168091,5.765915870666504,33.24578857421875,23.030691146850582,0.615799069404602,2.1199636459350586,2.787202835083008,7.710636615753174,10.33561897277832,11.372278213500977,2.9638350009918213,4.087923049926758,0.2994036078453064,0.9258537292480468,1.295602798461914,1.102800369262695,1.9350059032440183,2.990910768508911,5.136691570281982,3.755037069320679,6.1660003662109375,4.195525169372559,6.598596096038818,0.6603633400440994,0.1750540514963346,0.9980907317478106,0.297865751693897,0.9649868156233296,0.692164089315608,0.0721796807592752,off,default,,
DLinear,jena,full,3,0.0,4656.0,44.1,1.83,0.173719568048621,13.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.434999942779541,5.771246433258057,33.30728530883789,23.03807830810547,0.6159589290618896,2.119568586349488,2.788181781768799,7.735783100128174,10.3530912399292,11.414458274841309,2.959219694137573,4.073182582855225,0.2989360094070434,0.925428569316864,1.2953263521194458,1.1558159589767456,2.018538475036621,3.0056231021881104,5.154862880706787,3.749404191970825,6.169538497924805,4.198762893676758,6.60123872756958,0.6610523919087335,0.1752860779065442,0.9975511559374092,0.298177487190303,0.9649212159606924,0.6920283537944617,0.0721796807592752,off,default,,
DLinear,jena,full,4,0.0,4656.0,67.0,1.82,0.1728662763687517,20.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.414215326309204,5.745483875274658,33.01058578491211,23.03390884399414,0.617666482925415,2.117897272109986,2.7962117195129395,7.689899921417236,10.309534072875977,11.35208511352539,2.9222846031188965,4.032057285308838,0.2951973676681518,0.9267784357070924,1.2959792613983154,1.0306878089904783,1.813156485557556,2.973469018936157,5.09488582611084,3.740584373474121,6.145998477935791,4.19544792175293,6.593104839324951,0.6609145815358067,0.1752320265964815,0.9975926617689784,0.2981011323750108,0.9646240209842518,0.6948195772628772,0.0721796807592752,off,default,,
